Date,Exports,Imports,Trade Balance,Currency in Circulation,Cash with Banks,Currency with the Public,Consumer Goods Manufacture,CPI,GDP,Government Expenditure,Gross Fixed Capital,Immediate Rates,Interest Rates,Share Prices,Wholesale Industry Prices
2008-10-01,14130.8,25869.3,-11738.4,638579.0,27719.074509,610860.205491,78.055954259609,56.04413238493542,99.5854996998809,1765612546123.4602,5160098036295.7295,6.052192747082642,6.056298407376714,15.049702208551555,74.24777310748662
2009-01-01,12869.0,18228.2,-5359.1,659143.0,25412.9623,633730.1177,58.61486092712,56.6917062455318,99.0429358602214,1637530340794.29,4625732484273.58,5.9425679784095955,5.93771623050258,-44.52064936996235,72.55375527904071
2009-04-01,12475.7,19340.7,-6865.0,714422.0,27295.0494,687127.3806,79.2276003141376,57.87079166330009,98.9649781689968,1451425086583.66,5100276426190.13,6.023214065473495,6.040030919175179,29.604730043783185,72.64092999080492
2009-07-01,14341.3,21723.5,-7382.2,703825.0,27861.8922,675963.0978,83.0156529923598,60.733430762148096,99.2842047650977,1499830155998.03,5469087957291.1,6.013162108529905,5.991313017189124,6.600407704577582,74.09029256381777
2009-10-01,14806.0,25935.8,-11129.8,743693.0,30743.1099,712949.6301,84.4814358653698,62.48163407779968,99.7744213153872,2096092675813.37,5740486670831.141,6.052192747082642,6.056298407376714,-20.781059105336237,75.57465638757381
2010-01-01,15557.1,25267.0,-9709.9,772675.0,30457.2568,742218.1732,91.643383082775,65.88495590696942,100.313167577581,1995707896425.56,6088405433147.63,5.9425679784095955,5.93771623050258,73.03895460810416,78.85263435471309
2010-04-01,18139.1,31674.9,-13535.8,829150.0,30740.1098,798410.0002,97.4557850235604,65.58689721840682,100.843863476095,1751999959034.4202,6190412434379.5205,6.023214065473495,6.040030919175179,-55.8210951537964,80.54426317380442
2010-07-01,16954.5,29669.9,-12715.4,847977.0,33549.01,814428.41,95.2744507278369,67.5659417228898,101.310047681498,1758557144908.2,6434306372515.66,6.013162108529905,5.991313017189124,21.624565932155676,81.48776327221769
2010-10-01,19080.8,32461.7,-13380.9,876680.0,35938.9067,840740.8633,96.9688317344472,68.54045920049535,101.62143758454,2332797777869.64,6756381599053.87,6.052192747082642,6.056298407376714,-7.165068672001532,82.4398350975901
2011-01-01,22691.8,33353.6,-10661.8,924992.0,36839.1,888153.39,102.689361359625,72.01378901459444,101.69249277642,2286422114597.22,6844646118876.25,5.9425679784095955,5.93771623050258,10.111894636649135,86.31797251847291
2011-04-01,23469.524697,36595.861501,-13126.336804,983043.0,36158.4255,946884.29557,99.1391628288788,71.75978166249212,101.505896291831,1955282106000.0,7100833082213.391,6.023214065473495,6.040030919175179,-8.97152657983975,88.38948361281143
2011-07-01,26426.535021,41105.880124,-14679.345103,975519.0,40606.6981,934911.8428,104.040992050753,73.25970085684116,101.141629761762,2558534482000.0,7365713183528.12,6.013162108529905,5.991313017189124,4.2421630776373425,89.11640494025505
2011-10-01,23632.020963,41175.060753,-17543.03979,996822.0,44794.214,952027.7633,96.4211371645834,74.97796089335962,100.751025177936,2234077676000.0,7621678047476.65,6.052192747082642,6.056298407376714,6.054084316086708,90.57420651029845
2012-01-01,25379.050518,42952.469339,-17573.418821,1037731.0,42307.09,995424.151,94.7637160045081,75.84430970686017,100.426357694919,2935855736000.0,7889104028781.84,5.9425679784095955,5.93771623050258,-12.773302039263548,92.55852863974087
2012-04-01,23791.85609,38171.037579,-14379.181489,1108232.0,43376.8764,1064855.2667,87.645468866234,79.09008193984351,100.177859401028,2407447555000.0,8121998722353.41,9.285788350938306,9.060046378762769,9.894734853420873,95.0143364279728
